iter	Passed	Remaining
0	68	68372
1	70	35027
2	70	23556
3	71	17898
4	72	14447
5	73	12131
6	74	10507
7	74	9272
8	75	8296
9	75	7518
10	76	6879
11	77	6347
12	77	5891
13	78	5498
14	78	5163
15	79	4882
16	79	4620
17	80	4386
18	81	4184
19	81	4008
20	82	3842
21	83	3711
22	84	3584
23	85	3469
24	85	3351
25	86	3238
26	88	3181
27	88	3086
28	89	2997
29	90	2922
30	90	2841
31	91	2766
32	92	2716
33	93	2649
34	94	2595
35	96	2578
36	96	2522
37	98	2486
38	99	2461
39	100	2409
40	100	2358
41	101	2312
42	103	2303
43	104	2260
44	104	2218
45	104	2177
46	105	2139
47	105	2101
48	106	2065
49	106	2030
50	107	1996
51	107	1964
52	108	1933
53	108	1903
54	110	1893
55	110	1865
56	111	1836
57	111	1809
58	111	1783
59	112	1758
60	113	1741
61	113	1716
62	113	1692
63	114	1669
64	114	1647
65	114	1625
66	115	1604
67	115	1584
68	115	1564
69	116	1544
70	116	1525
71	117	1508
72	117	1493
73	117	1476
74	118	1458
75	118	1441
76	118	1425
77	119	1409
78	119	1394
79	120	1380
80	120	1365
81	120	1351
82	120	1335
83	121	1321
84	121	1308
85	121	1295
86	122	1282
87	122	1269
88	122	1256
89	123	1244
90	123	1232
91	123	1221
92	124	1210
93	124	1199
94	124	1188
95	125	1177
96	125	1167
97	125	1156
98	125	1146
99	126	1137
100	126	1127
101	126	1118
102	127	1108
103	127	1099
104	129	1102
105	129	1095
106	130	1086
107	131	1083
108	132	1081
109	132	1075
110	133	1070
111	134	1062
112	134	1054
113	135	1050
114	135	1042
115	135	1034
116	135	1026
117	136	1018
118	136	1011
119	137	1005
120	137	998
121	137	990
122	137	983
123	138	977
124	138	972
125	139	966
126	139	959
127	139	953
128	140	946
129	140	940
130	140	934
131	141	928
132	141	923
133	141	917
134	142	911
135	142	906
136	143	903
137	143	898
138	144	893
139	144	887
140	144	882
141	144	875
142	145	870
143	145	865
144	145	860
145	146	855
146	146	849
147	146	844
148	147	839
149	147	834
150	147	829
151	147	824
152	148	819
153	148	815
154	148	810
155	148	805
156	149	801
157	149	796
158	149	792
159	150	787
160	150	782
161	150	778
162	150	774
163	151	769
164	151	765
165	151	761
166	151	757
167	152	756
168	152	752
169	153	749
170	153	745
171	154	742
172	154	738
173	154	735
174	155	731
175	155	728
176	156	725
177	156	721
178	156	718
179	156	714
180	157	711
181	157	707
182	157	704
183	159	706
184	159	703
185	161	706
186	162	705
187	163	704
188	163	701
189	164	700
190	165	699
191	165	697
192	166	694
193	167	694
194	167	692
195	168	689
196	168	686
197	168	683
198	169	680
199	169	678
200	171	679
